order_id,pizza_id,quantity,order_date,order_time,pizza_type_id,pizza_size,price,name,category,ingredients
6,pizza_margherita_s,3,2023-01-30,00:51:47,pizza_margherita,S,12.77,Margherita,Vegetarian,"tomato sauce, mozzarella, basil"
6,pizza_spinach_feta_m,2,2023-01-30,00:51:47,pizza_spinach_feta,M,6.24,Spinach and Feta,Vegetarian,"spinach, feta cheese, garlic"
6,pizza_spinach_feta_l,2,2023-01-30,00:51:47,pizza_spinach_feta,L,11.83,Spinach and Feta,Vegetarian,"spinach, feta cheese, garlic"
7,pizza_veggie_m,3,2023-01-23,20:20:46,pizza_veggie,M,9.79,Veggie,Vegetarian,"tomato sauce, mozzarella, peppers, onions, olives"
7,pizza_hawaiian_xl,3,2023-01-23,20:20:46,pizza_hawaiian,XL,7.3,Hawaiian,Meat,"tomato sauce, mozzarella, ham, pineapple"
7,pizza_spinach_feta_m,3,2023-01-23,20:20:46,pizza_spinach_feta,M,6.24,Spinach and Feta,Vegetarian,"spinach, feta cheese, garlic"
8,pizza_margherita_l,1,2023-06-08,21:44:33,pizza_margherita,L,6.28,Margherita,Vegetarian,"tomato sauce, mozzarella, basil"
8,pizza_bbq_chicken_m,2,2023-06-08,21:44:33,pizza_bbq_chicken,M,13.68,BBQ Chicken,Meat,"bbq sauce, mozzarella, chicken"
9,pizza_veggie_m,1,2023-01-09,19:29:55,pizza_veggie,M,9.79,Veggie,Vegetarian,"tomato sauce, mozzarella, peppers, onions, olives"
9,pizza_mushroom_l,3,2023-01-09,19:29:55,pizza_mushroom,L,18.68,Mushroom,Vegetarian,"tomato sauce, mozzarella, mushrooms"
9,pizza_margherita_s,3,2023-01-09,19:29:55,pizza_margherita,S,12.77,Margherita,Vegetarian,"tomato sauce, mozzarella, basil"
10,pizza_buffalo_chicken_m,3,2023-10-28,16:53:57,pizza_buffalo_chicken,M,11.41,Buffalo Chicken,Meat,"buffalo sauce, mozzarella, chicken"
10,pizza_margherita_xl,3,2023-10-28,16:53:57,pizza_margherita,XL,16.41,Margherita,Vegetarian,"tomato sauce, mozzarella, basil"
10,pizza_pepperoni_m,3,2023-10-28,16:53:57,pizza_pepperoni,M,5.89,Pepperoni,Meat,"tomato sauce, mozzarella, pepperoni"
10,pizza_bbq_chicken_xl,1,2023-10-28,16:53:57,pizza_bbq_chicken,XL,8.74,BBQ Chicken,Meat,"bbq sauce, mozzarella, chicken"
11,pizza_bbq_chicken_m,3,2023-05-03,00:19:58,pizza_bbq_chicken,M,13.68,BBQ Chicken,Meat,"bbq sauce, mozzarella, chicken"
11,pizza_pepperoni_m,2,2023-05-03,00:19:58,pizza_pepperoni,M,5.89,Pepperoni,Meat,"tomato sauce, mozzarella, pepperoni"
11,pizza_margherita_m,1,2023-05-03,00:19:58,pizza_margherita,M,5.22,Margherita,Vegetarian,"tomato sauce, mozzarella, basil"
11,pizza_veggie_s,2,2023-05-03,00:19:58,pizza_veggie,S,17.33,Veggie,Vegetarian,"tomato sauce, mozzarella, peppers, onions, olives"
11,pizza_hawaiian_m,3,2023-05-03,00:19:58,pizza_hawaiian,M,11.4,Hawaiian,Meat,"tomato sauce, mozzarella, ham, pineapple"
12,pizza_meat_lovers_l,1,2023-09-04,02:16:39,pizza_meat_lovers,L,19.65,Meat Lovers,Meat,"pepperoni, sausage, bacon, ham"
12,pizza_hawaiian_s,1,2023-09-04,02:16:39,pizza_hawaiian,S,18.82,Hawaiian,Meat,"tomato sauce, mozzarella, ham, pineapple"
12,pizza_buffalo_chicken_s,3,2023-09-04,02:16:39,pizza_buffalo_chicken,S,5.56,Buffalo Chicken,Meat,"buffalo sauce, mozzarella, chicken"
12,pizza_supreme_s,1,2023-09-04,02:16:39,pizza_supreme,S,14.32,Supreme,Meat,"tomato sauce, mozzarella, pepperoni, sausage, vegetables"
13,pizza_buffalo_chicken_l,3,2023-01-22,21:17:32,pizza_buffalo_chicken,L,8.01,Buffalo Chicken,Meat,"buffalo sauce, mozzarella, chicken"
13,pizza_bbq_chicken_l,1,2023-01-22,21:17:32,pizza_bbq_chicken,L,16.28,BBQ Chicken,Meat,"bbq sauce, mozzarella, chicken"
13,pizza_bbq_chicken_xl,3,2023-01-22,21:17:32,pizza_bbq_chicken,XL,8.74,BBQ Chicken,Meat,"bbq sauce, mozzarella, chicken"
13,pizza_margherita_l,3,2023-01-22,21:17:32,pizza_margherita,L,6.28,Margherita,Vegetarian,"tomato sauce, mozzarella, basil"
14,pizza_mushroom_s,1,2023-07-21,13:36:20,pizza_mushroom,S,16.86,Mushroom,Vegetarian,"tomato sauce, mozzarella, mushrooms"
14,pizza_bbq_chicken_xl,2,2023-07-21,13:36:20,pizza_bbq_chicken,XL,8.74,BBQ Chicken,Meat,"bbq sauce, mozzarella, chicken"
14,pizza_buffalo_chicken_xl,3,2023-07-21,13:36:20,pizza_buffalo_chicken,XL,5.78,Buffalo Chicken,Meat,"buffalo sauce, mozzarella, chicken"
15,pizza_mushroom_s,1,2023-01-22,00:27:34,pizza_mushroom,S,16.86,Mushroom,Vegetarian,"tomato sauce, mozzarella, mushrooms"
15,pizza_buffalo_chicken_l,2,2023-01-22,00:27:34,pizza_buffalo_chicken,L,8.01,Buffalo Chicken,Meat,"buffalo sauce, mozzarella, chicken"
16,pizza_meat_lovers_l,1,2023-05-02,01:33:40,pizza_meat_lovers,L,19.65,Meat Lovers,Meat,"pepperoni, sausage, bacon, ham"
16,pizza_buffalo_chicken_m,2,2023-05-02,01:33:40,pizza_buffalo_chicken,M,11.41,Buffalo Chicken,Meat,"buffalo sauce, mozzarella, chicken"
16,pizza_mushroom_xl,1,2023-05-02,01:33:40,pizza_mushroom,XL,14.56,Mushroom,Vegetarian,"tomato sauce, mozzarella, mushrooms"
16,pizza_buffalo_chicken_m,2,2023-05-02,01:33:40,pizza_buffalo_chicken,M,11.41,Buffalo Chicken,Meat,"buffalo sauce, mozzarella, chicken"
17,pizza_veggie_xl,1,2023-03-12,14:21:12,pizza_veggie,XL,10.9,Veggie,Vegetarian,"tomato sauce, mozzarella, peppers, onions, olives"
17,pizza_buffalo_chicken_s,3,2023-03-12,14:21:12,pizza_buffalo_chicken,S,5.56,Buffalo Chicken,Meat,"buffalo sauce, mozzarella, chicken"
18,pizza_spinach_feta_m,2,2023-12-13,23:46:48,pizza_spinach_feta,M,6.24,Spinach and Feta,Vegetarian,"spinach, feta cheese, garlic"
18,pizza_meat_lovers_l,2,2023-12-13,23:46:48,pizza_meat_lovers,L,19.65,Meat Lovers,Meat,"pepperoni, sausage, bacon, ham"
18,pizza_meat_lovers_xl,1,2023-12-13,23:46:48,pizza_meat_lovers,XL,13.98,Meat Lovers,Meat,"pepperoni, sausage, bacon, ham"
18,pizza_hawaiian_xl,2,2023-12-13,23:46:48,pizza_hawaiian,XL,7.3,Hawaiian,Meat,"tomato sauce, mozzarella, ham, pineapple"
19,pizza_mushroom_m,2,2023-03-08,12:28:02,pizza_mushroom,M,15.77,Mushroom,Vegetarian,"tomato sauce, mozzarella, mushrooms"
19,pizza_buffalo_chicken_s,2,2023-03-08,12:28:02,pizza_buffalo_chicken,S,5.56,Buffalo Chicken,Meat,"buffalo sauce, mozzarella, chicken"
20,pizza_pepperoni_l,1,2023-04-14,22:47:18,pizza_pepperoni,L,13.55,Pepperoni,Meat,"tomato sauce, mozzarella, pepperoni"
20,pizza_mushroom_s,3,2023-04-14,22:47:18,pizza_mushroom,S,16.86,Mushroom,Vegetarian,"tomato sauce, mozzarella, mushrooms"
20,pizza_margherita_s,3,2023-04-14,22:47:18,pizza_margherita,S,12.77,Margherita,Vegetarian,"tomato sauce, mozzarella, basil"
20,pizza_mushroom_s,2,2023-04-14,22:47:18,pizza_mushroom,S,16.86,Mushroom,Vegetarian,"tomato sauce, mozzarella, mushrooms"
20,pizza_bbq_chicken_m,2,2023-04-14,22:47:18,pizza_bbq_chicken,M,13.68,BBQ Chicken,Meat,"bbq sauce, mozzarella, chicken"
21,pizza_veggie_m,3,2023-02-12,05:13:02,pizza_veggie,M,9.79,Veggie,Vegetarian,"tomato sauce, mozzarella, peppers, onions, olives"
22,pizza_bbq_chicken_l,3,2023-12-22,08:38:40,pizza_bbq_chicken,L,16.28,BBQ Chicken,Meat,"bbq sauce, mozzarella, chicken"
22,pizza_margherita_xl,1,2023-12-22,08:38:40,pizza_margherita,XL,16.41,Margherita,Vegetarian,"tomato sauce, mozzarella, basil"
23,pizza_mushroom_xl,2,2023-06-27,02:53:49,pizza_mushroom,XL,14.56,Mushroom,Vegetarian,"tomato sauce, mozzarella, mushrooms"
23,pizza_margherita_m,1,2023-06-27,02:53:49,pizza_margherita,M,5.22,Margherita,Vegetarian,"tomato sauce, mozzarella, basil"
24,pizza_spinach_feta_xl,3,2023-11-24,23:46:44,pizza_spinach_feta,XL,5.86,Spinach and Feta,Vegetarian,"spinach, feta cheese, garlic"
24,pizza_bbq_chicken_xl,1,2023-11-24,23:46:44,pizza_bbq_chicken,XL,8.74,BBQ Chicken,Meat,"bbq sauce, mozzarella, chicken"
25,pizza_bbq_chicken_s,2,2023-11-18,07:06:52,pizza_bbq_chicken,S,10.37,BBQ Chicken,Meat,"bbq sauce, mozzarella, chicken"
25,pizza_pepperoni_s,1,2023-11-18,07:06:52,pizza_pepperoni,S,16.29,Pepperoni,Meat,"tomato sauce, mozzarella, pepperoni"
25,pizza_hawaiian_s,3,2023-11-18,07:06:52,pizza_hawaiian,S,18.82,Hawaiian,Meat,"tomato sauce, mozzarella, ham, pineapple"
26,pizza_margherita_s,2,2023-09-14,19:54:43,pizza_margherita,S,12.77,Margherita,Vegetarian,"tomato sauce, mozzarella, basil"
26,pizza_meat_lovers_s,3,2023-09-14,19:54:43,pizza_meat_lovers,S,9.98,Meat Lovers,Meat,"pepperoni, sausage, bacon, ham"
26,pizza_pepperoni_xl,2,2023-09-14,19:54:43,pizza_pepperoni,XL,10.37,Pepperoni,Meat,"tomato sauce, mozzarella, pepperoni"
26,pizza_buffalo_chicken_s,3,2023-09-14,19:54:43,pizza_buffalo_chicken,S,5.56,Buffalo Chicken,Meat,"buffalo sauce, mozzarella, chicken"
27,pizza_pepperoni_xl,3,2023-11-06,10:10:54,pizza_pepperoni,XL,10.37,Pepperoni,Meat,"tomato sauce, mozzarella, pepperoni"
27,pizza_bbq_chicken_s,2,2023-11-06,10:10:54,pizza_bbq_chicken,S,10.37,BBQ Chicken,Meat,"bbq sauce, mozzarella, chicken"
27,pizza_buffalo_chicken_l,1,2023-11-06,10:10:54,pizza_buffalo_chicken,L,8.01,Buffalo Chicken,Meat,"buffalo sauce, mozzarella, chicken"
28,pizza_margherita_l,1,2023-02-26,07:52:47,pizza_margherita,L,6.28,Margherita,Vegetarian,"tomato sauce, mozzarella, basil"
28,pizza_meat_lovers_xl,3,2023-02-26,07:52:47,pizza_meat_lovers,XL,13.98,Meat Lovers,Meat,"pepperoni, sausage, bacon, ham"
28,pizza_pepperoni_m,2,2023-02-26,07:52:47,pizza_pepperoni,M,5.89,Pepperoni,Meat,"tomato sauce, mozzarella, pepperoni"
29,pizza_spinach_feta_xl,1,2023-10-16,22:57:00,pizza_spinach_feta,XL,5.86,Spinach and Feta,Vegetarian,"spinach, feta cheese, garlic"
30,pizza_veggie_xl,1,2023-07-21,08:17:54,pizza_veggie,XL,10.9,Veggie,Vegetarian,"tomato sauce, mozzarella, peppers, onions, olives"
30,pizza_margherita_xl,3,2023-07-21,08:17:54,pizza_margherita,XL,16.41,Margherita,Vegetarian,"tomato sauce, mozzarella, basil"
30,pizza_buffalo_chicken_xl,1,2023-07-21,08:17:54,pizza_buffalo_chicken,XL,5.78,Buffalo Chicken,Meat,"buffalo sauce, mozzarella, chicken"
31,pizza_bbq_chicken_l,2,2023-12-14,08:40:04,pizza_bbq_chicken,L,16.28,BBQ Chicken,Meat,"bbq sauce, mozzarella, chicken"
31,pizza_spinach_feta_m,1,2023-12-14,08:40:04,pizza_spinach_feta,M,6.24,Spinach and Feta,Vegetarian,"spinach, feta cheese, garlic"
32,pizza_hawaiian_s,2,2023-06-11,20:56:55,pizza_hawaiian,S,18.82,Hawaiian,Meat,"tomato sauce, mozzarella, ham, pineapple"
32,pizza_buffalo_chicken_l,3,2023-06-11,20:56:55,pizza_buffalo_chicken,L,8.01,Buffalo Chicken,Meat,"buffalo sauce, mozzarella, chicken"
32,pizza_spinach_feta_xl,3,2023-06-11,20:56:55,pizza_spinach_feta,XL,5.86,Spinach and Feta,Vegetarian,"spinach, feta cheese, garlic"
32,pizza_pepperoni_s,1,2023-06-11,20:56:55,pizza_pepperoni,S,16.29,Pepperoni,Meat,"tomato sauce, mozzarella, pepperoni"
32,pizza_bbq_chicken_xl,1,2023-06-11,20:56:55,pizza_bbq_chicken,XL,8.74,BBQ Chicken,Meat,"bbq sauce, mozzarella, chicken"
33,pizza_buffalo_chicken_xl,2,2023-12-24,13:52:05,pizza_buffalo_chicken,XL,5.78,Buffalo Chicken,Meat,"buffalo sauce, mozzarella, chicken"
33,pizza_bbq_chicken_s,3,2023-12-24,13:52:05,pizza_bbq_chicken,S,10.37,BBQ Chicken,Meat,"bbq sauce, mozzarella, chicken"
33,pizza_hawaiian_m,1,2023-12-24,13:52:05,pizza_hawaiian,M,11.4,Hawaiian,Meat,"tomato sauce, mozzarella, ham, pineapple"
33,pizza_buffalo_chicken_s,1,2023-12-24,13:52:05,pizza_buffalo_chicken,S,5.56,Buffalo Chicken,Meat,"buffalo sauce, mozzarella, chicken"
34,pizza_meat_lovers_s,3,2023-03-27,02:00:07,pizza_meat_lovers,S,9.98,Meat Lovers,Meat,"pepperoni, sausage, bacon, ham"
34,pizza_pepperoni_xl,1,2023-03-27,02:00:07,pizza_pepperoni,XL,10.37,Pepperoni,Meat,"tomato sauce, mozzarella, pepperoni"
34,pizza_spinach_feta_xl,2,2023-03-27,02:00:07,pizza_spinach_feta,XL,5.86,Spinach and Feta,Vegetarian,"spinach, feta cheese, garlic"
34,pizza_veggie_l,3,2023-03-27,02:00:07,pizza_veggie,L,17.9,Veggie,Vegetarian,"tomato sauce, mozzarella, peppers, onions, olives"
35,pizza_mushroom_s,1,2023-05-13,08:58:34,pizza_mushroom,S,16.86,Mushroom,Vegetarian,"tomato sauce, mozzarella, mushrooms"
35,pizza_meat_lovers_xl,1,2023-05-13,08:58:34,pizza_meat_lovers,XL,13.98,Meat Lovers,Meat,"pepperoni, sausage, bacon, ham"
35,pizza_margherita_s,2,2023-05-13,08:58:34,pizza_margherita,S,12.77,Margherita,Vegetarian,"tomato sauce, mozzarella, basil"
35,pizza_bbq_chicken_s,2,2023-05-13,08:58:34,pizza_bbq_chicken,S,10.37,BBQ Chicken,Meat,"bbq sauce, mozzarella, chicken"
36,pizza_hawaiian_l,1,2023-05-29,18:54:55,pizza_hawaiian,L,12.18,Hawaiian,Meat,"tomato sauce, mozzarella, ham, pineapple"
37,pizza_margherita_l,3,2023-08-07,16:39:16,pizza_margherita,L,6.28,Margherita,Vegetarian,"tomato sauce, mozzarella, basil"
37,pizza_pepperoni_s,3,2023-08-07,16:39:16,pizza_pepperoni,S,16.29,Pepperoni,Meat,"tomato sauce, mozzarella, pepperoni"
37,pizza_mushroom_xl,2,2023-08-07,16:39:16,pizza_mushroom,XL,14.56,Mushroom,Vegetarian,"tomato sauce, mozzarella, mushrooms"
37,pizza_meat_lovers_l,2,2023-08-07,16:39:16,pizza_meat_lovers,L,19.65,Meat Lovers,Meat,"pepperoni, sausage, bacon, ham"
37,pizza_supreme_l,1,2023-08-07,16:39:16,pizza_supreme,L,10.84,Supreme,Meat,"tomato sauce, mozzarella, pepperoni, sausage, vegetables"
38,pizza_meat_lovers_m,1,2023-07-16,16:11:46,pizza_meat_lovers,M,12.27,Meat Lovers,Meat,"pepperoni, sausage, bacon, ham"
38,pizza_margherita_m,3,2023-07-16,16:11:46,pizza_margherita,M,5.22,Margherita,Vegetarian,"tomato sauce, mozzarella, basil"
39,pizza_spinach_feta_l,2,2023-05-04,07:22:46,pizza_spinach_feta,L,11.83,Spinach and Feta,Vegetarian,"spinach, feta cheese, garlic"
40,pizza_buffalo_chicken_l,1,2023-06-23,18:00:15,pizza_buffalo_chicken,L,8.01,Buffalo Chicken,Meat,"buffalo sauce, mozzarella, chicken"
40,pizza_hawaiian_s,3,2023-06-23,18:00:15,pizza_hawaiian,S,18.82,Hawaiian,Meat,"tomato sauce, mozzarella, ham, pineapple"
40,pizza_bbq_chicken_l,3,2023-06-23,18:00:15,pizza_bbq_chicken,L,16.28,BBQ Chicken,Meat,"bbq sauce, mozzarella, chicken"
41,pizza_pepperoni_xl,2,2023-02-25,12:37:06,pizza_pepperoni,XL,10.37,Pepperoni,Meat,"tomato sauce, mozzarella, pepperoni"
42,pizza_hawaiian_s,2,2023-02-17,01:10:03,pizza_hawaiian,S,18.82,Hawaiian,Meat,"tomato sauce, mozzarella, ham, pineapple"
42,pizza_meat_lovers_l,2,2023-02-17,01:10:03,pizza_meat_lovers,L,19.65,Meat Lovers,Meat,"pepperoni, sausage, bacon, ham"
42,pizza_bbq_chicken_s,3,2023-02-17,01:10:03,pizza_bbq_chicken,S,10.37,BBQ Chicken,Meat,"bbq sauce, mozzarella, chicken"
42,pizza_spinach_feta_l,2,2023-02-17,01:10:03,pizza_spinach_feta,L,11.83,Spinach and Feta,Vegetarian,"spinach, feta cheese, garlic"
43,pizza_pepperoni_s,3,2023-08-26,21:22:42,pizza_pepperoni,S,16.29,Pepperoni,Meat,"tomato sauce, mozzarella, pepperoni"
44,pizza_mushroom_m,1,2023-12-20,13:00:43,pizza_mushroom,M,15.77,Mushroom,Vegetarian,"tomato sauce, mozzarella, mushrooms"
44,pizza_spinach_feta_xl,2,2023-12-20,13:00:43,pizza_spinach_feta,XL,5.86,Spinach and Feta,Vegetarian,"spinach, feta cheese, garlic"
44,pizza_margherita_xl,2,2023-12-20,13:00:43,pizza_margherita,XL,16.41,Margherita,Vegetarian,"tomato sauce, mozzarella, basil"
45,pizza_hawaiian_s,2,2023-10-08,23:06:52,pizza_hawaiian,S,18.82,Hawaiian,Meat,"tomato sauce, mozzarella, ham, pineapple"
45,pizza_spinach_feta_m,2,2023-10-08,23:06:52,pizza_spinach_feta,M,6.24,Spinach and Feta,Vegetarian,"spinach, feta cheese, garlic"
45,pizza_veggie_xl,1,2023-10-08,23:06:52,pizza_veggie,XL,10.9,Veggie,Vegetarian,"tomato sauce, mozzarella, peppers, onions, olives"
45,pizza_bbq_chicken_xl,2,2023-10-08,23:06:52,pizza_bbq_chicken,XL,8.74,BBQ Chicken,Meat,"bbq sauce, mozzarella, chicken"
45,pizza_hawaiian_s,3,2023-10-08,23:06:52,pizza_hawaiian,S,18.82,Hawaiian,Meat,"tomato sauce, mozzarella, ham, pineapple"
46,pizza_buffalo_chicken_s,3,2023-01-07,00:06:56,pizza_buffalo_chicken,S,5.56,Buffalo Chicken,Meat,"buffalo sauce, mozzarella, chicken"
46,pizza_margherita_l,2,2023-01-07,00:06:56,pizza_margherita,L,6.28,Margherita,Vegetarian,"tomato sauce, mozzarella, basil"
46,pizza_veggie_m,2,2023-01-07,00:06:56,pizza_veggie,M,9.79,Veggie,Vegetarian,"tomato sauce, mozzarella, peppers, onions, olives"
47,pizza_buffalo_chicken_m,2,2023-10-22,19:05:31,pizza_buffalo_chicken,M,11.41,Buffalo Chicken,Meat,"buffalo sauce, mozzarella, chicken"
48,pizza_supreme_xl,3,2023-11-28,23:30:01,pizza_supreme,XL,10.91,Supreme,Meat,"tomato sauce, mozzarella, pepperoni, sausage, vegetables"
48,pizza_veggie_l,2,2023-11-28,23:30:01,pizza_veggie,L,17.9,Veggie,Vegetarian,"tomato sauce, mozzarella, peppers, onions, olives"
48,pizza_meat_lovers_s,3,2023-11-28,23:30:01,pizza_meat_lovers,S,9.98,Meat Lovers,Meat,"pepperoni, sausage, bacon, ham"
48,pizza_margherita_m,2,2023-11-28,23:30:01,pizza_margherita,M,5.22,Margherita,Vegetarian,"tomato sauce, mozzarella, basil"
49,pizza_pepperoni_m,2,2023-01-29,23:31:31,pizza_pepperoni,M,5.89,Pepperoni,Meat,"tomato sauce, mozzarella, pepperoni"
50,pizza_veggie_xl,2,2023-06-13,20:02:22,pizza_veggie,XL,10.9,Veggie,Vegetarian,"tomato sauce, mozzarella, peppers, onions, olives"
51,pizza_meat_lovers_xl,3,2023-08-12,18:44:45,pizza_meat_lovers,XL,13.98,Meat Lovers,Meat,"pepperoni, sausage, bacon, ham"
51,pizza_margherita_m,3,2023-08-12,18:44:45,pizza_margherita,M,5.22,Margherita,Vegetarian,"tomato sauce, mozzarella, basil"
52,pizza_mushroom_l,2,2023-11-13,04:05:12,pizza_mushroom,L,18.68,Mushroom,Vegetarian,"tomato sauce, mozzarella, mushrooms"
52,pizza_margherita_l,2,2023-11-13,04:05:12,pizza_margherita,L,6.28,Margherita,Vegetarian,"tomato sauce, mozzarella, basil"
53,pizza_buffalo_chicken_m,1,2023-09-09,07:50:35,pizza_buffalo_chicken,M,11.41,Buffalo Chicken,Meat,"buffalo sauce, mozzarella, chicken"
53,pizza_supreme_s,2,2023-09-09,07:50:35,pizza_supreme,S,14.32,Supreme,Meat,"tomato sauce, mozzarella, pepperoni, sausage, vegetables"
54,pizza_spinach_feta_xl,1,2023-04-04,08:26:36,pizza_spinach_feta,XL,5.86,Spinach and Feta,Vegetarian,"spinach, feta cheese, garlic"
54,pizza_spinach_feta_l,1,2023-04-04,08:26:36,pizza_spinach_feta,L,11.83,Spinach and Feta,Vegetarian,"spinach, feta cheese, garlic"
54,pizza_meat_lovers_s,3,2023-04-04,08:26:36,pizza_meat_lovers,S,9.98,Meat Lovers,Meat,"pepperoni, sausage, bacon, ham"
54,pizza_spinach_feta_l,2,2023-04-04,08:26:36,pizza_spinach_feta,L,11.83,Spinach and Feta,Vegetarian,"spinach, feta cheese, garlic"
54,pizza_hawaiian_l,2,2023-04-04,08:26:36,pizza_hawaiian,L,12.18,Hawaiian,Meat,"tomato sauce, mozzarella, ham, pineapple"
55,pizza_hawaiian_l,3,2023-10-16,00:11:21,pizza_hawaiian,L,12.18,Hawaiian,Meat,"tomato sauce, mozzarella, ham, pineapple"
55,pizza_buffalo_chicken_xl,1,2023-10-16,00:11:21,pizza_buffalo_chicken,XL,5.78,Buffalo Chicken,Meat,"buffalo sauce, mozzarella, chicken"
56,pizza_margherita_m,3,2023-03-14,20:59:00,pizza_margherita,M,5.22,Margherita,Vegetarian,"tomato sauce, mozzarella, basil"
56,pizza_mushroom_l,3,2023-03-14,20:59:00,pizza_mushroom,L,18.68,Mushroom,Vegetarian,"tomato sauce, mozzarella, mushrooms"
57,pizza_meat_lovers_s,1,2023-05-16,03:41:23,pizza_meat_lovers,S,9.98,Meat Lovers,Meat,"pepperoni, sausage, bacon, ham"
57,pizza_meat_lovers_xl,1,2023-05-16,03:41:23,pizza_meat_lovers,XL,13.98,Meat Lovers,Meat,"pepperoni, sausage, bacon, ham"
57,pizza_spinach_feta_xl,2,2023-05-16,03:41:23,pizza_spinach_feta,XL,5.86,Spinach and Feta,Vegetarian,"spinach, feta cheese, garlic"
57,pizza_spinach_feta_l,2,2023-05-16,03:41:23,pizza_spinach_feta,L,11.83,Spinach and Feta,Vegetarian,"spinach, feta cheese, garlic"
57,pizza_bbq_chicken_m,2,2023-05-16,03:41:23,pizza_bbq_chicken,M,13.68,BBQ Chicken,Meat,"bbq sauce, mozzarella, chicken"
58,pizza_spinach_feta_m,1,2023-03-09,01:03:44,pizza_spinach_feta,M,6.24,Spinach and Feta,Vegetarian,"spinach, feta cheese, garlic"
59,pizza_pepperoni_s,2,2023-02-20,11:36:10,pizza_pepperoni,S,16.29,Pepperoni,Meat,"tomato sauce, mozzarella, pepperoni"
59,pizza_bbq_chicken_l,1,2023-02-20,11:36:10,pizza_bbq_chicken,L,16.28,BBQ Chicken,Meat,"bbq sauce, mozzarella, chicken"
59,pizza_spinach_feta_m,2,2023-02-20,11:36:10,pizza_spinach_feta,M,6.24,Spinach and Feta,Vegetarian,"spinach, feta cheese, garlic"
59,pizza_supreme_xl,1,2023-02-20,11:36:10,pizza_supreme,XL,10.91,Supreme,Meat,"tomato sauce, mozzarella, pepperoni, sausage, vegetables"
60,pizza_supreme_xl,3,2023-09-30,15:27:21,pizza_supreme,XL,10.91,Supreme,Meat,"tomato sauce, mozzarella, pepperoni, sausage, vegetables"
